# CKAL ROKET TAKIMI (Data loaded from a file)
# 2437 data points written for 3 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
494.75,15.452,-4.736
494.992,14.309,-4.728
495.234,13.164,-4.728
495.476,12.019,-4.734
495.718,10.876,-4.731
495.959,9.737,-4.691
496.203,8.601,-4.623
496.451,7.452,-4.671
496.695,6.301,-4.731
496.937,5.157,-4.731
497.179,4.015,-4.724
497.421,2.874,-4.701
497.664,1.728,-4.73
# Event GROUND_HIT occurred at t=498.031 seconds
# Event SIMULATION_END occurred at t=498.031 seconds
498.031,0,-4.688
