# CKAL ROKET TAKIMI (Data loaded from a file)
# 2437 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,970,0,0,0,0,0,0,0,0,0,0,38.4,34,94.996,0,0,0,85.027,0,1.414e4,3905,2.422,0.025,9.797,NaN,84.9,NaN,0,0,-1.584e-4,0.397,0.274,0.003,0.12,-6.293e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.319,180.023,8.695,902.1,0.001,336.568,0.019,6.112e5,12,110,0.01,0.002,0
0.01,0,970,0,0,0,0,0,0,0,0,0,0,38.4,34,94.996,0,0,0,85.027,0,1.414e4,3905,2.422,0.025,9.797,NaN,84.9,NaN,8.666,0.063,-1.599e-4,0.397,0.274,0.003,0.12,-6.288e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.351,180.023,8.695,902.1,0.001,336.568,0.019,6.143e5,12,110,0.006,0.003,0
0.016,0,970,0,0,0,0,0,0,0,0,0,0,38.4,34,94.996,0,0,0,85.027,0,1.414e4,3905,2.422,0.025,9.797,NaN,84.9,NaN,13.865,0.1,-1.608e-4,0.397,0.274,0.003,0.12,-6.285e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.371,180.023,8.695,902.1,0.001,336.568,0.019,6.161e5,12,110,0.009,0.004,0
0.025,1.305e-4,970,0.057,0.058,18.499,18.679,0,3.764e-5,3.764e-5,359.989,0.012,2.59,38.4,34,94.481,0,0,0,85.027,0,1.413e4,3902,2.421,0.025,9.797,NaN,84.9,NaN,401.552,2.9,-1.178e-4,0.396,0.274,0.003,0.12,-4.578e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4,180.023,8.695,902.1,0.001,336.568,0.019,6.178e5,12,110,0.01,0.005,5.376e-6
0.035,0.002,970.002,0.394,0.397,48.877,49.158,0,3.339e-4,3.339e-4,359.989,0.051,5.248,38.4,34,91.444,0,0,0,85.027,0,1.413e4,3899,2.421,0.025,9.797,NaN,84.9,NaN,832.316,6.013,-4.268e-6,0.396,0.274,0.003,0.12,-1.657e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.432,180.023,8.695,902.1,0.001,336.568,0.019,6.182e5,12,110,0.009,0.005,4.033e-5
0.044,0.008,970.008,0.957,0.963,76.229,76.611,-5.118e-9,0.001,0.001,359.989,0.109,7.643,38.4,34,86.459,0,0,0,85.027,0,1.413e4,3896,2.42,0.025,9.797,NaN,84.9,NaN,1220.004,8.815,6.012e-5,0.396,0.273,0.003,0.12,2.312e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.461,180.023,8.695,902.1,0.001,336.568,0.019,6.212e5,12,110,0.01,0.006,9.942e-5
# Event LIFTOFF occurred at t=0.054 seconds
0.054,0.021,970.021,1.724,1.734,77.264,77.559,-1.965e-8,0.003,0.003,359.989,0.186,6.76,38.4,34,79.698,0,0,0,85.027,0,1.412e4,3889,2.419,0.025,9.797,NaN,84.9,NaN,1232.878,8.913,0.001,0.395,0.272,0.003,0.12,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.494,180.023,8.695,902.1,0.001,336.568,0.019,6.324e5,12,110,0.01,0.006,1.801e-4
0.064,0.043,970.043,2.501,2.514,78.214,78.513,-4.184e-8,0.005,0.005,359.989,0.254,6.843,38.4,34,73.281,0,0,0,85.027,0,1.411e4,3882,2.418,0.025,9.797,NaN,84.8,NaN,1245.752,9.01,0.006,0.393,0.271,0.003,0.12,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.529,180.023,8.695,902.1,0.001,336.568,0.02,6.533e5,12,110,0.01,0.007,2.628e-4
0.074,0.071,970.071,3.288,3.304,79.165,79.468,-6.403e-8,0.008,0.008,359.989,0.323,6.926,38.4,34,67.208,0,0,0,85.027,0,1.411e4,3875,2.416,0.025,9.797,NaN,84.8,NaN,1258.626,9.107,0.015,0.391,0.268,0.003,0.12,0.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.564,180.023,8.695,902.1,0.001,336.568,0.021,6.822e5,12,110,0.01,0.007,3.465e-4
0.084,0.108,970.108,4.084,4.103,80.117,80.423,-8.622e-8,0.011,0.011,359.989,0.393,7.009,38.4,34,61.65,0,0,0,85.027,0,1.41e4,3869,2.415,0.025,9.797,NaN,84.8,NaN,1271.5,9.205,0.029,0.388,0.265,0.003,0.12,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.599,180.023,8.694,902.1,0.001,336.568,0.022,7.185e5,12,110,0.01,0.008,4.312e-4
0.094,0.153,970.153,4.89,4.912,81.069,81.379,-1.084e-7,0.015,0.015,359.989,0.463,7.093,38.4,34,56.608,0,0,0,85.027,0,1.409e4,3862,2.414,0.025,9.797,NaN,84.8,NaN,1284.374,9.303,0.049,0.385,0.262,0.003,0.12,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.634,180.023,8.694,902.1,0.001,336.567,0.023,7.614e5,12,110,0.01,0.009,5.17e-4
0.104,0.206,970.206,5.706,5.731,82.022,82.335,-1.306e-7,0.02,0.02,359.989,0.535,7.176,38.4,34,52.025,0,0,0,85.027,0,1.409e4,3855,2.413,0.025,9.797,NaN,84.8,NaN,1297.248,9.401,0.075,0.382,0.259,0.003,0.12,0.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.654,180.023,8.694,902.1,0.001,336.567,0.025,8.091e5,12,110,0.01,0.009,6.037e-4
0.114,0.267,970.267,6.531,6.559,82.975,83.292,-1.528e-7,0.026,0.026,359.989,0.607,7.259,38.4,34,47.785,0,0,0,85.027,0,1.408e4,3848,2.411,0.025,9.797,NaN,84.7,NaN,1310.122,9.499,0.108,0.379,0.256,0.003,0.12,0.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.652,180.023,8.693,902.1,0.001,336.567,0.026,8.606e5,12,110,0.01,0.01,6.915e-4
0.124,0.337,970.337,7.365,7.397,83.929,84.25,-1.75e-7,0.033,0.033,359.989,0.68,7.343,38.4,34,44.003,0,0,0,85.027,0,1.407e4,3841,2.41,0.025,9.797,NaN,84.7,NaN,1322.996,9.597,0.146,0.376,0.253,0.003,0.12,0.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.65,180.023,8.693,902.1,0.001,336.567,0.028,9.169e5,12,110,0.01,0.011,7.802e-4
0.134,0.415,970.415,8.209,8.244,84.883,85.208,-1.972e-7,0.04,0.04,359.989,0.754,7.426,38.4,34,40.68,0,0,0,85.027,0,1.407e4,3834,2.409,0.025,9.797,NaN,84.7,NaN,1335.87,9.695,0.19,0.373,0.249,0.003,0.12,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.648,180.023,8.692,902.1,0.001,336.566,0.03,9.773e5,12,110,0.01,0.011,8.7e-4
0.144,0.501,970.501,9.063,9.101,85.838,86.166,-2.193e-7,0.048,0.048,359.989,0.828,7.51,38.4,34,37.701,0,0,0,85.027,0,1.406e4,3828,2.407,0.025,9.797,NaN,84.7,NaN,1348.744,9.793,0.239,0.37,0.246,0.003,0.12,0.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.645,180.023,8.692,902,0.001,336.566,0.032,1.041e6,12,110,0.01,0.012,9.608e-4
0.154,0.596,970.596,9.926,9.967,86.794,87.125,-2.415e-7,0.056,0.056,359.989,0.904,7.593,38.4,34,34.893,0,0,0,85.027,0,1.405e4,3821,2.406,0.025,9.797,NaN,84.7,NaN,1361.618,9.891,0.294,0.367,0.243,0.003,0.12,0.356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.611,180.023,8.691,902,0.001,336.566,0.034,1.107e6,12,110,0.01,0.013,0.001
0.164,0.7,970.7,10.799,10.843,87.749,88.085,-2.637e-7,0.066,0.066,359.989,0.98,7.677,38.4,34,32.2,0,0,0,85.027,0,1.404e4,3814,2.405,0.025,9.797,NaN,84.6,NaN,1374.492,9.989,0.355,0.364,0.241,0.003,0.12,0.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.528,180.023,8.69,902,0.001,336.565,0.036,1.174e6,12,110,0.01,0.013,0.001
0.174,0.812,970.812,11.681,11.729,88.706,89.045,-2.859e-7,0.076,0.076,359.989,1.057,7.761,38.4,34,29.737,0,0,0,85.027,0,1.404e4,3807,2.403,0.025,9.797,NaN,84.6,NaN,1387.366,10.088,0.42,0.361,0.238,0.003,0.12,0.402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.446,180.023,8.69,902,0.001,336.565,0.038,1.244e6,12,110,0.01,0.013,0.001
0.184,0.933,970.933,12.573,12.624,89.663,90.006,-3.081e-7,0.087,0.087,359.989,1.135,7.845,38.4,34,27.559,0,0,0,85.027,0,1.403e4,3800,2.402,0.025,9.797,NaN,84.6,NaN,1400.24,10.187,0.489,0.359,0.235,0.004,0.12,0.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.363,180.023,8.689,902,0.001,336.564,0.04,1.317e6,12,110,0.01,0.014,0.001
0.194,1.063,971.063,13.47,13.525,89.814,90.157,-3.303e-7,0.099,0.099,359.989,1.214,7.858,38.4,34,25.611,0,0,0,85.027,0,1.402e4,3793,2.401,0.025,9.797,NaN,84.6,NaN,1401.694,10.203,0.562,0.357,0.233,0.004,0.12,0.431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.28,180.023,8.688,902,0.001,336.564,0.043,1.392e6,12,110,0.01,0.014,0.001
0.204,1.203,971.203,14.369,14.427,89.964,90.308,-3.525e-7,0.111,0.111,359.989,1.293,7.871,38.4,34,24.122,0,0,0,85.027,0,1.402e4,3785,2.399,0.025,9.797,NaN,84.6,NaN,1403.149,10.218,0.638,0.354,0.23,0.004,0.12,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.272,180.023,8.687,902,0.001,336.563,0.045,1.471e6,12,110,0.01,0.014,0.002
0.214,1.351,971.351,15.27,15.331,90.115,90.459,-3.747e-7,0.125,0.125,359.989,1.371,7.884,38.4,34,23.147,0,0,0,85.027,0,1.401e4,3778,2.398,0.025,9.797,NaN,84.5,NaN,1404.604,10.235,0.716,0.352,0.228,0.004,0.12,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.376,180.023,8.686,901.9,0.001,336.563,0.048,1.554e6,12,110,0.01,0.015,0.002
0.224,1.508,971.508,16.171,16.236,90.266,90.61,-3.969e-7,0.139,0.139,359.989,1.45,7.897,38.4,34,22.288,0,0,0,85.027,0,1.4e4,3771,2.396,0.025,9.797,NaN,84.5,NaN,1406.058,10.251,0.799,0.35,0.226,0.004,0.12,0.442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.479,180.023,8.685,901.9,0.001,336.562,0.05,1.638e6,12,110,0.01,0.015,0.002
0.234,1.674,971.674,17.075,17.143,90.416,90.761,-4.19e-7,0.154,0.154,359.989,1.529,7.91,38.4,34,21.486,0,0,0,85.027,0,1.399e4,3763,2.395,0.025,9.797,NaN,84.5,NaN,1407.513,10.267,0.885,0.348,0.223,0.004,0.12,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.583,180.023,8.684,901.9,0.001,336.561,0.053,1.722e6,12,110,0.01,0.015,0.002
0.244,1.85,971.85,17.98,18.052,90.566,90.912,-4.412e-7,0.169,0.169,359.989,1.609,7.924,38.4,34,20.798,0,0,0,85.027,0,1.399e4,3756,2.394,0.025,9.797,NaN,84.5,NaN,1408.968,10.283,0.975,0.346,0.221,0.004,0.12,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.687,180.023,8.683,901.9,0.001,336.561,0.056,1.807e6,12,110,0.01,0.016,0.002
0.254,2.034,972.034,18.886,18.961,90.716,91.063,-4.634e-7,0.186,0.186,359.989,1.688,7.937,38.4,34,19.939,0,0,0,85.027,0,1.398e4,3748,2.392,0.025,9.797,NaN,84.4,NaN,1410.422,10.299,1.067,0.344,0.22,0.004,0.12,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.728,180.023,8.682,901.9,0.001,336.56,0.058,1.89e6,12,110,0.01,0.016,0.002
0.264,2.227,972.227,19.794,19.873,90.867,91.214,-4.856e-7,0.203,0.203,359.989,1.767,7.95,38.4,34,18.908,0,0,0,85.027,0,1.397e4,3741,2.391,0.025,9.797,NaN,84.4,NaN,1411.877,10.315,1.163,0.342,0.218,0.004,0.12,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.676,180.023,8.681,901.8,0.001,336.559,0.061,1.972e6,12,110,0.01,0.017,0.002
0.274,2.43,972.43,20.704,20.786,91.017,91.364,-5.078e-7,0.221,0.221,359.989,1.847,7.963,38.4,34,17.991,0,0,0,85.027,0,1.396e4,3734,2.389,0.025,9.797,NaN,84.4,NaN,1413.332,10.331,1.26,0.341,0.216,0.004,0.121,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.624,180.023,8.679,901.8,0.001,336.558,0.063,2.055e6,12,110,0.01,0.017,0.002
0.284,2.641,972.641,21.614,21.7,91.167,91.515,-5.3e-7,0.24,0.24,359.989,1.927,7.976,38.4,34,17.131,0,0,0,85.027,0,1.396e4,3726,2.388,0.025,9.797,NaN,84.4,NaN,1414.786,10.347,1.36,0.339,0.215,0.004,0.121,0.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.572,180.023,8.678,901.8,0.001,336.558,0.066,2.138e6,12,110,0.01,0.017,0.002
0.294,2.862,972.862,22.527,22.616,91.317,91.666,-5.522e-7,0.26,0.26,359.989,2.006,7.989,38.4,34,16.329,0,0,0,85.027,0,1.395e4,3719,2.386,0.025,9.797,NaN,84.4,NaN,1416.241,10.363,1.461,0.338,0.213,0.004,0.121,0.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.52,180.023,8.676,901.8,0.001,336.557,0.068,2.221e6,12,110,0.01,0.018,0.002
0.304,3.092,973.092,23.441,23.533,91.468,91.817,-5.744e-7,0.28,0.28,359.989,2.086,8.002,38.4,34,15.642,0,0,0,85.027,0,1.394e4,3711,2.385,0.025,9.797,NaN,84.3,NaN,1417.696,10.379,1.563,0.337,0.212,0.004,0.121,0.436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.492,180.023,8.675,901.8,0.001,336.556,0.071,2.306e6,12,110,0.01,0.018,0.002
0.314,3.331,973.331,24.356,24.452,91.618,91.968,-5.965e-7,0.301,0.301,359.989,2.166,8.016,38.4,34,15.069,0,0,0,85.027,0,1.393e4,3704,2.384,0.025,9.797,NaN,84.3,NaN,1419.15,10.395,1.668,0.335,0.21,0.005,0.121,0.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.499,180.023,8.673,901.7,0.001,336.555,0.074,2.392e6,12,110,0.01,0.018,0.003
0.324,3.579,973.579,25.273,25.373,91.768,92.119,-6.187e-7,0.323,0.323,359.989,2.247,8.029,38.4,34,14.553,0,0,0,85.027,0,1.393e4,3696,2.382,0.025,9.797,NaN,84.3,NaN,1420.605,10.412,1.776,0.334,0.209,0.005,0.121,0.429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.506,180.023,8.672,901.7,0.001,336.554,0.076,2.478e6,12,110,0.01,0.019,0.003
0.334,3.836,973.836,26.192,26.295,91.918,92.27,-6.409e-7,0.346,0.346,359.989,2.327,8.042,38.4,34,14.095,0,0,0,85.027,0,1.392e4,3689,2.381,0.025,9.797,NaN,84.3,NaN,1422.059,10.428,1.885,0.333,0.208,0.005,0.121,0.425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.514,180.023,8.67,901.7,0.001,336.553,0.079,2.564e6,12,110,0.01,0.019,0.003
0.344,4.103,974.103,27.112,27.218,92.069,92.42,-6.631e-7,0.37,0.37,359.989,2.407,8.055,38.4,34,13.636,0,0,0,85.027,0,1.391e4,3682,2.379,0.025,9.797,NaN,84.3,NaN,1423.514,10.444,1.996,0.332,0.206,0.005,0.121,0.421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.521,180.023,8.668,901.6,0.001,336.552,0.081,2.651e6,12,110,0.01,0.019,0.003
0.354,4.379,974.379,28.033,28.143,92.219,92.571,-6.853e-7,0.394,0.394,359.989,2.488,8.068,38.4,34,13.178,0,0,0,85.027,0,1.39e4,3674,2.378,0.025,9.797,NaN,84.2,NaN,1424.969,10.46,2.11,0.331,0.205,0.005,0.121,0.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.53,180.023,8.667,901.6,0.001,336.551,0.084,2.738e6,12,110,0.01,0.02,0.003
0.364,4.664,974.664,28.956,29.07,92.369,92.722,-7.075e-7,0.42,0.42,359.989,2.569,8.081,38.4,34,12.834,0,0,0,85.027,0,1.39e4,3667,2.376,0.025,9.797,NaN,84.2,NaN,1426.423,10.477,2.227,0.33,0.204,0.005,0.121,0.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.543,180.023,8.665,901.6,0.001,336.55,0.087,2.826e6,12,110,0.01,0.02,0.003
0.374,4.958,974.958,29.88,29.998,92.52,92.873,-7.297e-7,0.446,0.446,359.989,2.65,8.094,38.4,34,12.433,0,0,0,85.027,0,1.389e4,3659,2.375,0.025,9.797,NaN,84.2,NaN,1427.878,10.493,2.346,0.329,0.203,0.005,0.121,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.555,180.023,8.663,901.5,0.001,336.549,0.09,2.913e6,12,110,0.01,0.02,0.003
0.384,5.261,975.261,30.806,30.927,92.67,93.024,-7.519e-7,0.473,0.473,359.989,2.731,8.108,38.4,34,12.089,0,0,0,85.027,0,1.388e4,3652,2.374,0.025,9.797,NaN,84.2,NaN,1429.333,10.509,2.468,0.328,0.202,0.005,0.121,0.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.568,180.023,8.661,901.5,0.001,336.547,0.092,3.001e6,12,110,0.01,0.021,0.003
0.394,5.574,975.574,31.734,31.858,92.82,93.175,-7.741e-7,0.5,0.5,359.989,2.812,8.121,38.4,34,11.746,0,0,0,85.027,0,1.388e4,3645,2.372,0.025,9.797,NaN,84.1,NaN,1430.787,10.526,2.592,0.327,0.201,0.005,0.121,0.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.58,180.023,8.659,901.5,0.001,336.546,0.095,3.089e6,12,110,0.01,0.021,0.003
0.404,5.896,975.896,32.663,32.791,92.97,93.325,-7.962e-7,0.529,0.529,359.989,2.893,8.134,38.4,34,11.459,0,0,0,85.027,0,1.387e4,3637,2.371,0.025,9.797,NaN,84.1,NaN,1432.242,10.542,2.719,0.326,0.2,0.005,0.121,0.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.583,180.023,8.657,901.4,0.001,336.545,0.098,3.177e6,12,110,0.01,0.021,0.003
# Event LAUNCHROD occurred at t=0.414 seconds
0.414,6.227,976.227,33.593,33.725,92.953,93.496,-8.184e-7,0.558,0.558,359.989,2.975,10.061,38.4,34,11.115,0,0,0,85.027,0,1.386e4,3630,2.369,0.025,9.797,100.4,84.1,1.357,1433.697,10.558,2.846,0.325,0.199,0.005,0.121,0.396,2.056,2.79,-1.262e-4,0,0,0,0,0,6.572,180.023,8.655,901.4,0.001,336.544,0.1,3.266e6,12,110,0.015,0.022,0.004
0.429,6.741,976.741,34.989,35.128,93.178,93.723,-1.258e-6,0.604,0.604,359.989,3.126,10.088,38.4,34,10.6,0,0.917,-1.757e-5,85.027,1.724e-6,1.385e4,3619,2.367,0.025,9.797,100.6,84.1,1.382,1435.879,10.583,3.038,0.324,0.197,0.005,0.121,0.39,1.933,2.671,-3.536e-4,0,0,0,0,1.079e-4,6.554,180.023,8.651,901.3,0.001,336.542,0.104,3.398e6,12,110,0.022,0.022,0.004
0.451,7.534,977.534,37.043,37.194,93.513,94.055,-3.421e-6,0.675,0.675,359.989,3.348,10.08,38.4,34,9.855,0,2.235,-8.909e-5,85.027,6.583e-6,1.383e4,3602,2.364,0.025,9.797,101,84,1.418,1439.079,10.619,3.328,0.322,0.195,0.005,0.122,0.382,1.766,2.504,1.618e-4,0,0,0,0,6.182e-4,6.527,180.023,8.646,901.3,0.001,336.538,0.11,3.593e6,12,110,0.033,0.022,0.004
0.484,8.807,978.807,40.136,40.304,93.932,94.456,-1.024e-5,0.791,0.791,359.989,3.678,9.931,38.4,34,8.766,0,4.412,1.587e-5,85.142,359.989,1.381e4,3577,2.359,0.025,9.797,101.6,83.9,1.475,1442.488,10.663,3.777,0.32,0.193,0.006,0.122,0.37,1.526,2.249,-3.264e-4,0,0,0,0,0.002,6.437,180.023,8.638,901.1,0.001,336.533,0.12,3.888e6,12,110,0.049,0.023,0.004
0.533,10.909,980.909,44.801,44.994,94.572,95.049,-2.916e-5,0.985,0.985,359.989,4.16,9.516,38.4,34,7.792,-2.953e-7,7.907,1.729e-4,85.428,359.989,1.377e4,3540,2.352,0.025,9.797,102.2,83.8,1.535,1447.603,10.73,4.581,0.319,0.191,0.006,0.122,0.361,1.317,2.016,4.934e-4,0,0,0,0,0.005,6.701,180.023,8.624,900.9,0.001,336.525,0.133,4.336e6,12,110,0.05,0.023,0.005
0.583,13.268,983.268,49.546,49.761,95.25,95.644,-5.995e-5,1.205,1.205,359.989,4.617,8.664,38.4,34,6.589,0,11.746,-5.296e-6,85.944,359.989,1.373e4,3502,2.344,0.024,9.797,103,83.7,1.61,1452.768,10.798,5.453,0.32,0.191,0.006,0.123,0.352,1.074,1.719,-2.582e-5,0,0,0,0,0.009,6.806,180.023,8.609,900.6,0.001,336.516,0.147,4.791e6,12,110,0.05,0.024,0.005
0.633,15.864,985.864,54.326,54.558,95.951,96.234,-1.038e-4,1.446,1.446,359.989,5.02,7.365,38.4,34,5.329,-8.153e-7,15.642,-8.594e-4,86.631,359.989,1.369e4,3464,2.337,0.024,9.797,103.9,83.6,1.695,1457.934,10.867,6.384,0.321,0.191,0.007,0.123,0.343,0.833,1.398,2.938e-4,0,0,0,0,0.014,6.865,180.023,8.592,900.3,0.001,336.506,0.162,5.25e6,12,110,0.05,0.024,0.006
0.683,18.701,988.701,59.142,59.383,96.665,96.823,-1.623e-4,1.706,1.706,359.989,5.345,5.521,38.4,34,3.667,-9.162e-7,19.194,-0.003,87.491,359.989,1.366e4,3426,2.329,0.024,9.797,105.2,83.5,1.814,1463.1,10.936,7.337,0.322,0.191,0.007,0.124,0.333,0.543,0.966,-9.739e-5,0,0,0,0,0.018,6.539,180.023,8.573,900,0.001,336.494,0.176,5.712e6,12,110,0.05,0.024,0.006
0.733,21.779,991.779,63.992,64.234,97.351,97.408,-2.37e-4,1.979,1.979,359.989,5.566,3.322,38.4,34,2.177,-9.74e-7,21.83,-0.009,88.522,359.989,1.362e4,3388,2.321,0.024,9.797,106.6,83.4,1.934,1468.266,11.005,8.423,0.323,0.191,0.007,0.125,0.327,0.304,0.569,-2.533e-4,0,0,0,0,0.02,6.337,180.023,8.553,899.7,0.001,336.482,0.19,6.178e6,12,110,0.014,0.025,0.007
0.747,22.652,992.652,65.308,65.548,97.528,97.565,-2.601e-4,2.054,2.054,359.989,5.607,2.686,38.4,34,1.776,-9.683e-7,22.403,-0.012,88.808,359.989,1.361e4,3378,2.319,0.024,9.797,106.9,83.3,1.964,1469.661,11.024,8.745,0.323,0.191,0.007,0.125,0.326,0.251,0.474,-3.681e-4,0,0,0,0,0.02,6.328,180.023,8.548,899.6,0.001,336.479,0.194,6.305e6,12,110,0.02,0.025,0.007
0.767,23.994,993.994,67.284,67.521,97.615,97.63,-2.974e-4,2.168,2.168,359.989,5.651,1.704,38.4,34,1.318,-9.649e-7,23.033,-0.017,89.267,359.989,1.359e4,3362,2.316,0.024,9.797,107.4,83.3,2.009,1469.417,11.034,9.251,0.323,0.191,0.007,0.125,0.325,0.179,0.34,3.407e-4,0,0,0,0,0.02,6.354,180.023,8.539,899.4,0.001,336.474,0.2,6.495e6,12,110,0.03,0.025,0.007
0.798,26.083,996.083,70.25,70.48,97.726,97.726,-3.592e-4,2.34,2.34,359.989,5.68,0.175,38.4,34,0.573,-9.351e-7,23.72,-0.044,90.012,193.774,1.357e4,3339,2.311,0.024,9.797,108.1,83.2,2.077,1469.051,11.051,10.061,0.324,0.19,0.008,0.126,0.324,0.078,0.143,3.657e-4,0,0,0,0,0.019,6.402,180.023,8.525,899.2,0.001,336.465,0.209,6.78e6,12,110,0.046,0.026,0.008
0.843,29.386,999.386,74.706,74.918,97.841,97.866,-4.664e-4,2.599,2.599,359.989,5.634,2.192,38.4,34,0.458,-9.523e-7,-23.72,-0.057,88.923,180.023,1.353e4,3304,2.304,0.024,9.797,108.3,83.1,2.1,1468.502,11.075,11.402,0.325,0.19,0.008,0.126,0.325,0.058,0.139,3.728e-4,0,0,0,0,-0.017,6.48,180.023,8.504,898.8,0.001,336.452,0.222,7.208e6,12,110,0.05,0.026,0.008
0.893,33.243,1003.243,79.6,79.787,97.895,98.014,-6.056e-4,2.876,2.876,359.989,5.459,4.82,38.4,34,1.49,-5.168e-7,-22.059,-0.023,87.777,180.023,1.35e4,3266,2.297,0.024,9.797,107.2,83,2.022,1467.9,11.102,13.06,0.326,0.19,0.008,0.127,0.328,0.207,0.431,-2.422e-4,0,0,0,0,-0.013,6.485,180.023,8.479,898.4,0.001,336.437,0.237,7.678e6,12,110,0.05,0.027,0.009
0.943,37.346,1007.346,84.494,84.651,97.884,98.157,-7.7e-4,3.142,3.142,359.989,5.154,7.31,38.4,34,2.464,-4.094e-7,-18.449,-0.015,86.746,180.023,1.346e4,3227,2.289,0.024,9.797,106.4,82.9,1.959,1467.298,11.129,14.915,0.327,0.19,0.009,0.128,0.333,0.353,0.699,-9.121e-5,0,0,0,0,-0.008,6.32,180.023,8.452,898,0.001,336.421,0.251,8.148e6,12,110,0.042,0.028,0.009
0.986,41.023,1011.023,88.652,88.782,97.852,98.274,-9.318e-4,3.354,3.354,359.989,4.804,9.099,38.4,34,3.094,-9.099e-7,-13.636,-0.013,86.058,180.023,1.343e4,3195,2.282,0.024,9.797,105.8,82.8,1.922,1466.786,11.152,16.612,0.328,0.19,0.009,0.129,0.337,0.454,0.876,3.861e-5,0,0,0,0,-0.004,6.107,180.023,8.428,897.6,0.001,336.406,0.264,8.546e6,12,110,0.031,0.028,0.01
